i	j	q	a
0	1389	42	1
0	1390	112	1
0	1391	57	0
0	1392	113	1
0	1393	108	0
0	1394	83	0
0	1395	113	1
0	1396	108	0
0	1397	110	1
0	1398	113	1
0	1399	83	1
0	1400	113	0
0	1401	113	1
0	1402	113	0
0	1403	88	1
0	1404	93	0
0	1405	114	1
0	1406	111	1
0	1407	113	1
0	1408	107	1
0	1409	108	0
0	1410	110	0
0	1411	85	0
0	1412	108	0
0	1413	108	1
0	1414	93	0
0	1415	108	0
0	1416	114	0
0	1417	81	0
0	1418	93	0
0	1419	113	1
0	1420	109	1
0	1421	106	1
0	1422	112	1
0	1423	111	1
0	1424	107	0
0	1425	111	1
0	1426	86	0
0	1427	107	1
0	1428	79	1
0	1429	112	1
0	1430	64	1
0	1431	108	0
0	1432	112	1
0	1433	107	1
0	1434	113	0
0	1435	107	1
0	1436	88	1
0	1437	56	0
0	1438	106	0
0	1439	96	0
0	1440	89	0
0	1441	88	1
0	1442	110	1
0	1443	113	1
0	1444	37	0
0	1445	112	0
0	1446	108	0
0	1447	112	1
0	1448	81	1
0	1449	88	0
0	1450	112	0
0	1451	112	1
0	1452	93	0
0	1453	106	1
0	1454	107	0
0	1455	110	1
0	1456	107	0
0	1457	108	0
0	1458	108	0
0	1459	105	1
0	1460	109	1
0	1461	113	1
0	1462	106	0
0	1463	112	1
0	1464	113	1
0	1465	111	1
0	1466	112	1
0	1467	113	1
0	1468	111	1
0	1469	111	1
0	1470	110	0
0	1471	89	0
0	1472	113	1
0	1473	112	1
0	1474	93	0
0	1475	114	0
0	1476	106	0
0	1477	108	0
0	1478	112	1
0	1479	54	0
0	1480	104	1
0	1481	113	1
0	1482	93	0
0	1483	93	0
0	1484	91	0
0	1485	110	1
0	1486	113	1
0	1487	113	1
0	1488	113	1
0	1489	111	0
0	1490	112	1
0	1491	111	0
0	1492	112	1
0	1493	113	1
0	1494	112	1
0	1495	108	0
0	1496	110	0
0	1497	114	0
0	1498	113	0
0	1499	113	1
0	1500	112	0
0	1501	113	1
0	1502	87	1
0	1503	93	0
0	1504	93	0
0	1505	112	1
0	1506	113	1
0	1507	106	0
0	1508	85	1
0	1509	93	0
0	1510	108	0
0	1511	112	1
0	1512	113	1
0	1513	108	0
0	1514	109	0
0	1515	106	0
0	1516	113	1
0	1517	108	0
0	1518	113	0
0	1519	113	1
0	1520	91	0
0	1521	93	0
0	1522	112	0
0	1523	113	1
0	1524	106	0
0	1525	104	1
0	1526	111	1
0	1527	113	1
0	1528	95	0
0	1529	112	0
0	1530	93	0
0	1531	113	1
0	1532	105	1
0	1533	112	0
0	1534	106	0
0	1535	112	0
0	1536	112	1
0	1537	113	1
0	1538	92	0
0	1539	112	0
0	1540	112	1
0	1541	113	1
0	1542	112	0
0	1543	108	0
0	1544	107	1
0	1545	112	1
0	1546	92	1
0	1547	113	1
0	1548	114	1
0	1549	110	0
0	1550	112	0
0	1551	112	1
0	1552	113	1
0	1553	112	1
0	1554	113	1
0	1555	110	1
0	1556	105	0
0	1557	112	0
0	1558	113	1
0	1559	108	1
0	1560	112	0
0	1561	113	0
0	1562	113	1
0	1563	113	1
0	1564	113	1
0	1565	112	0
0	1566	55	0
0	1567	93	0
0	1568	113	1
0	1569	113	0
0	1570	113	0
0	1571	113	1
0	1572	113	1
0	1573	113	1
0	1574	112	1
0	1575	108	1
0	1576	112	1
0	1577	106	0
0	1578	113	0
0	1579	113	0
0	1580	114	0
0	1581	108	0
0	1582	114	1
0	1583	108	1
0	1584	106	0
0	1585	113	1
0	1586	111	1
0	1587	91	1
0	1588	112	1
0	1589	114	0
0	1590	89	0
0	1591	113	1
0	1592	93	0
0	1593	57	0
0	1594	113	1
0	1595	110	1
0	1596	93	0
0	1597	113	1
0	1598	88	1
0	1599	113	1
0	1600	109	1
0	1601	113	1
0	1602	112	1
0	1603	113	1
0	1604	92	1
0	1605	49	0
0	1606	112	0
0	1607	111	1
0	1608	93	0
0	1609	113	1
0	1610	93	0
0	1611	114	0
0	1612	91	0
0	1613	83	0
0	1614	108	0
0	1615	111	1
0	1616	108	0
0	1617	112	0
0	1618	112	1
0	1619	89	0
0	1620	110	1
0	1621	108	0
0	1622	112	1
0	1623	113	0
0	1624	106	0
0	1625	108	0
0	1626	113	1
0	1627	105	0
0	1628	108	0
0	1629	112	1
0	1630	112	1
0	1631	104	0
0	1632	111	1
0	1633	103	0
0	1634	108	0
0	1635	91	0
0	1636	108	1
0	1637	113	1
0	1638	110	1
0	1639	113	1
0	1640	111	0
0	1641	113	1
0	1642	113	1
0	1643	113	1
0	1644	113	1
0	1645	102	0
0	1646	112	0
0	1647	113	1
0	1648	113	1
0	1649	112	1
0	1650	66	0
0	1651	113	1
0	1652	113	1
0	1653	57	0
0	1654	113	1
