i	j	q	a
0	1235	93	1
0	1236	110	1
0	1237	91	1
0	1238	105	1
0	1239	113	1
0	1240	112	1
0	1241	109	1
0	1242	112	1
0	1243	110	1
0	1244	112	1
0	1245	111	1
0	1246	55	1
0	1247	93	1
0	1248	93	1
0	1249	93	1
0	1250	105	1
0	1251	112	1
0	1252	106	1
0	1253	107	1
0	1254	93	1
0	1255	83	1
0	1256	81	1
0	1257	106	1
0	1258	108	1
0	1259	107	1
0	1260	106	1
0	1261	112	1
0	1262	106	1
0	1263	112	1
0	1264	91	1
0	1265	112	1
0	1266	106	1
0	1267	114	1
0	1268	106	1
0	1269	113	1
0	1270	110	1
0	1271	108	1
0	1272	87	1
0	1273	106	1
0	1274	91	1
0	1275	93	1
0	1276	93	1
0	1277	91	1
0	1278	113	1
0	1279	108	1
0	1280	112	1
0	1281	106	1
0	1282	112	1
0	1283	112	1
0	1284	112	1
0	1285	108	1
0	1286	93	1
0	1287	113	1
0	1288	111	1
0	1289	87	1
0	1290	113	1
0	1291	91	1
0	1292	93	1
0	1293	112	1
0	1294	78	1
0	1295	112	1
0	1296	77	1
0	1297	108	1
0	1298	56	1
0	1299	113	1
0	1300	108	1
0	1301	106	1
0	1302	106	1
0	1303	55	1
0	1304	104	1
0	1305	94	1
0	1306	106	1
0	1307	87	1
0	1308	104	1
0	1309	112	1
0	1310	109	1
0	1311	112	1
0	1312	96	1
0	1313	112	1
0	1314	57	1
0	1315	93	1
0	1316	110	1
0	1317	89	1
0	1318	113	1
0	1319	94	1
0	1320	113	1
0	1321	91	1
0	1322	93	1
0	1323	57	1
0	1324	112	1
0	1325	91	1
0	1326	108	1
0	1327	108	1
0	1328	112	1
0	1329	112	1
0	1330	87	1
0	1331	114	1
0	1332	96	1
0	1333	108	1
0	1334	93	1
0	1335	108	1
0	1336	100	1
0	1337	111	1
0	1338	108	1
0	1339	108	1
0	1340	113	1
0	1341	108	1
0	1342	112	1
0	1343	93	1
0	1344	89	1
0	1345	91	1
0	1346	100	1
0	1347	111	1
0	1348	110	1
0	1349	85	1
0	1350	112	1
0	1351	112	1
0	1352	91	1
0	1353	113	1
0	1354	91	1
0	1355	93	1
0	1356	113	1
0	1357	114	1
0	1358	113	1
0	1359	93	1
0	1360	93	1
0	1361	91	1
0	1362	108	1
0	1363	93	1
0	1364	114	1
0	1365	110	1
0	1366	106	1
0	1367	113	1
0	1368	108	1
0	1369	112	1
0	1370	112	1
0	1371	112	1
0	1372	108	1
0	1373	114	1
0	1374	64	1
0	1375	104	1
0	1376	93	1
0	1377	112	1
0	1378	112	1
0	1379	93	1
0	1380	112	1
0	1381	93	1
0	1382	93	1
0	1383	108	1
0	1384	93	1
0	1385	112	1
0	1386	112	1
0	1387	82	1
0	1388	108	1
0	1389	110	1
0	1390	112	1
0	1391	96	1
0	1392	112	1
0	1393	106	1
0	1394	113	1
0	1395	93	1
0	1396	107	1
0	1397	112	1
0	1398	57	1
0	1399	110	1
0	1400	87	1
0	1401	107	1
0	1402	108	1
0	1403	108	1
0	1404	113	1
0	1405	93	1
0	1406	114	1
0	1407	114	1
0	1408	108	1
0	1409	106	1
0	1410	114	1
0	1411	108	1
0	1412	89	1
0	1413	112	1
0	1414	93	1
0	1415	93	1
0	1416	108	1
0	1417	112	1
0	1418	110	1
0	1419	104	1
0	1420	111	1
0	1421	102	1
0	1422	112	1
0	1423	104	1
0	1424	108	1
0	1425	112	1
0	1426	110	1
0	1427	104	1
0	1428	108	1
0	1429	106	1
0	1430	114	1
0	1431	112	1
0	1432	112	1
0	1433	108	1
0	1434	112	1
0	1435	112	1
0	1436	90	1
0	1437	88	1
0	1438	106	1
0	1439	83	1
0	1440	110	1
0	1441	105	1
0	1442	91	1
0	1443	94	1
0	1444	91	1
0	1445	106	1
0	1446	57	1
0	1447	102	1
0	1448	107	1
0	1449	113	1
0	1450	108	1
0	1451	68	1
0	1452	55	1
0	1453	111	1
0	1454	93	1
0	1455	112	1
0	1456	104	1
0	1457	51	1
0	1458	112	1
0	1459	106	1
0	1460	107	1
0	1461	108	1
0	1462	87	1
0	1463	106	1
0	1464	77	1
0	1465	93	1
0	1466	98	1
0	1467	93	1
0	1468	108	1
0	1469	108	1
0	1470	108	1
0	1471	110	1
0	1472	99	1
0	1473	108	1
0	1474	113	1
0	1475	93	1
0	1476	108	1
0	1477	113	1
0	1478	89	1
0	1479	106	1
0	1480	93	1
0	1481	93	1
0	1482	93	1
0	1483	106	1
0	1484	93	1
0	1485	91	1
0	1486	113	1
0	1487	108	1
0	1488	112	1
0	1489	111	1
0	1490	108	1
0	1491	108	1
0	1492	106	1
0	1493	79	1
0	1494	108	1
0	1495	111	1
0	1496	108	1
0	1497	106	1
0	1498	112	1
0	1499	66	1
0	1500	93	1
0	1501	108	1
0	1502	93	1
0	1503	108	1
0	1504	112	1
0	1505	77	1
0	1506	110	1
0	1507	91	1
0	1508	110	1
0	1509	91	1
0	1510	91	1
0	1511	92	1
0	1512	98	1
0	1513	104	1
0	1514	111	1
0	1515	112	1
0	1516	83	1
0	1517	107	1
0	1518	112	1
0	1519	112	1
0	1520	106	1
0	1521	57	1
0	1522	113	1
0	1523	110	1
0	1524	105	1
0	1525	110	1
0	1526	113	1
0	1527	113	1
0	1528	112	1
0	1529	103	1
0	1530	113	1
0	1531	114	1
0	1532	111	1
0	1533	108	1
0	1534	106	1
0	1535	93	1
0	1536	106	1
0	1537	113	1
0	1538	113	1
0	1539	104	1
0	1540	106	1
0	1541	108	1
0	1542	93	1
0	1543	108	1
0	1544	111	1
0	1545	112	1
0	1546	93	1
0	1547	85	1
0	1548	106	1
0	1549	106	1
0	1550	108	1
0	1551	106	1
0	1552	114	1
0	1553	93	1
0	1554	108	1
0	1555	91	1
0	1556	87	1
0	1557	111	1
0	1558	106	1
0	1559	113	1
0	1560	111	1
0	1561	92	1
0	1562	110	1
0	1563	87	1
0	1564	110	1
0	1565	108	1
0	1566	93	1
0	1567	108	1
0	1568	111	1
0	1569	112	1
0	1570	108	1
0	1571	112	1
0	1572	93	1
0	1573	94	1
0	1574	112	1
0	1575	104	1
0	1576	114	1
0	1577	105	1
0	1578	104	1
0	1579	91	1
0	1580	68	1
0	1581	91	1
0	1582	92	1
0	1583	113	1
0	1584	110	1
0	1585	110	1
0	1586	111	1
0	1587	110	1
0	1588	93	1
0	1589	107	1
0	1590	107	1
0	1591	108	1
0	1592	112	1
0	1593	104	1
0	1594	113	1
0	1595	108	1
0	1596	110	1
0	1597	83	1
0	1598	100	1
0	1599	104	1
0	1600	68	1
0	1601	108	1
0	1602	98	1
0	1603	106	1
0	1604	91	1
0	1605	94	1
0	1606	104	1
0	1607	103	1
0	1608	106	1
0	1609	114	1
0	1610	106	1
0	1611	93	1
0	1612	93	1
0	1613	83	1
0	1614	102	1
0	1615	104	1
0	1616	108	1
0	1617	57	1
0	1618	93	1
0	1619	66	1
0	1620	97	1
0	1621	89	1
0	1622	110	1
0	1623	113	1
0	1624	108	1
0	1625	112	1
0	1626	111	1
0	1627	108	1
0	1628	111	1
0	1629	106	1
0	1630	108	1
0	1631	113	1
0	1632	106	1
0	1633	111	1
0	1634	93	1
0	1635	113	1
0	1636	106	1
0	1637	113	1
0	1638	110	1
0	1639	113	1
0	1640	85	1
0	1641	111	1
0	1642	113	1
0	1643	90	1
0	1644	105	1
0	1645	91	1
0	1646	111	1
0	1647	108	1
0	1648	112	1
0	1649	93	1
0	1650	91	1
0	1651	113	1
0	1652	113	1
0	1653	114	1
0	1654	114	1
0	1655	91	1
0	1656	108	1
0	1657	106	1
0	1658	93	1
0	1659	100	1
0	1660	91	1
0	1661	113	1
0	1662	87	1
